"Fold","Specificity","Sensitivity","Thresholds"
"Fold01",0.439688715953307,1,0.0034346145379398
"Fold01",0.443579766536965,1,0.00344559157434289
"Fold01",0.447470817120623,1,0.00345296813791575
"Fold01",0.45136186770428,1,0.00347318205114641
"Fold01",0.455252918287938,1,0.00350213356332251
"Fold01",0.459143968871595,1,0.00351569878138191
"Fold01",0.463035019455253,1,0.00354728001946712
"Fold01",0.46692607003891,1,0.00358181318258944
"Fold01",0.470817120622568,1,0.00359454934462978
"Fold01",0.474708171206226,1,0.00362514590644078
"Fold01",0.478599221789883,1,0.00374188400227725
"Fold01",0.482490272373541,1,0.00383975627497512
"Fold01",0.486381322957198,1,0.0038496076757693
"Fold01",0.490272373540856,1,0.00388568081893193
"Fold01",0.494163424124514,1,0.00397382841748591
"Fold01",0.498054474708171,1,0.00404351855138378
"Fold01",0.501945525291829,1,0.0040640170243312
"Fold01",0.505836575875486,1,0.00407430019740478
"Fold01",0.509727626459144,1,0.00411792807963855
"Fold01",0.513618677042802,1,0.00416703194736615
"Fold01",0.517509727626459,1,0.00419813565223184
"Fold01",0.521400778210117,1,0.00423767947417801
"Fold01",0.525291828793774,1,0.00425794851219069
"Fold01",0.529182879377432,1,0.00426542371485366
"Fold01",0.53307392996109,1,0.00431217133038177
"Fold01",0.536964980544747,1,0.00436134140719272
"Fold01",0.540856031128405,1,0.00438694442624845
"Fold01",0.544747081712062,1,0.00442326254953334
"Fold01",0.54863813229572,1,0.00448279773350116
"Fold01",0.552529182879377,1,0.00454621219475871
"Fold01",0.556420233463035,1,0.00460699997331042
"Fold01",0.560311284046693,1,0.00465219972767577
"Fold01",0.56420233463035,1,0.00467306534407164
"Fold01",0.568093385214008,1,0.00469491019401591
"Fold01",0.571984435797665,1,0.00472376680536129
"Fold01",0.575875486381323,1,0.00475613513118116
"Fold01",0.579766536964981,1,0.00478973092817873
"Fold01",0.583657587548638,1,0.00482022046289892
"Fold01",0.587548638132296,1,0.00499294986030202
"Fold01",0.591439688715953,1,0.00517999601659256
"Fold01",0.595330739299611,1,0.00528560682631652
"Fold01",0.599221789883268,1,0.00539487140353588
"Fold01",0.603112840466926,1,0.00551283290707077
"Fold01",0.607003891050584,1,0.00597548778673137
"Fold01",0.610894941634241,1,0.00679200289994445
"Fold01",0.614785992217899,1,0.00729141456298161
"Fold01",0.618677042801556,1,0.00737977112767327
"Fold01",0.622568093385214,1,0.00747625645804085
"Fold01",0.626459143968872,1,0.00756879752683535
"Fold01",0.630350194552529,1,0.00773266116464487
"Fold01",0.634241245136187,1,0.00794047549391046
"Fold01",0.638132295719844,1,0.00830442655468719
"Fold01",0.642023346303502,1,0.00922815274508071
"Fold01",0.64591439688716,1,0.00994961353613802
"Fold01",0.649805447470817,1,0.0101878868104551
"Fold01",0.653696498054475,1,0.0104330644816605
"Fold01",0.657587548638132,1,0.0105416078114308
"Fold01",0.66147859922179,1,0.010864073678609
"Fold01",0.665369649805447,1,0.0113561114041205
"Fold01",0.669260700389105,1,0.0115572429635289
"Fold01",0.673151750972763,1,0.0116690371809512
"Fold01",0.67704280155642,1,0.0118561033387996
"Fold01",0.680933852140078,1,0.0120316361965952
"Fold01",0.684824902723735,1,0.0122425704263223
"Fold01",0.688715953307393,1,0.0127276572178482
"Fold01",0.692607003891051,1,0.0131159653062329
"Fold01",0.696498054474708,1,0.0131625632572656
"Fold01",0.700389105058366,1,0.013565672586251
"Fold01",0.704280155642023,1,0.0140543462049952
"Fold01",0.708171206225681,1,0.014590542607161
"Fold01",0.712062256809339,1,0.0152163276570682
"Fold01",0.712062256809339,0.977272727272727,0.0157330740504333
"Fold01",0.715953307392996,0.977272727272727,0.0161248582121187
"Fold01",0.719844357976654,0.977272727272727,0.0165399139970554
"Fold01",0.723735408560311,0.977272727272727,0.0171600608457181
"Fold01",0.727626459143969,0.977272727272727,0.0179509678196361
"Fold01",0.731517509727626,0.977272727272727,0.018489996554671
"Fold01",0.735408560311284,0.977272727272727,0.0188418287413978
"Fold01",0.739299610894942,0.977272727272727,0.0194092841369581
"Fold01",0.743190661478599,0.977272727272727,0.019649602611503
"Fold01",0.747081712062257,0.977272727272727,0.0196867342053972
"Fold01",0.750972762645914,0.977272727272727,0.0204338345482397
"Fold01",0.754863813229572,0.977272727272727,0.0214887615550805
"Fold01",0.75875486381323,0.977272727272727,0.0218891340649177
"Fold01",0.762645914396887,0.977272727272727,0.0219730825021914
"Fold01",0.766536964980545,0.977272727272727,0.0226189225678159
"Fold01",0.770428015564202,0.977272727272727,0.0233233532032674
"Fold01",0.77431906614786,0.977272727272727,0.0237327127590101
"Fold01",0.778210116731518,0.977272727272727,0.0243297826735792
"Fold01",0.782101167315175,0.977272727272727,0.0252005249400184
"Fold01",0.785992217898833,0.977272727272727,0.0260807244643626
"Fold01",0.78988326848249,0.977272727272727,0.0263823962147175
"Fold01",0.793774319066148,0.977272727272727,0.0274568048372393
"Fold01",0.797665369649806,0.977272727272727,0.0288482923909472
"Fold01",0.801556420233463,0.977272727272727,0.0316115092840329
"Fold01",0.805447470817121,0.977272727272727,0.0340514820198471
"Fold01",0.809338521400778,0.977272727272727,0.0341430911582007
"Fold01",0.813229571984436,0.977272727272727,0.0345242628667864
"Fold01",0.817120622568093,0.977272727272727,0.0348493050365357
"Fold01",0.821011673151751,0.977272727272727,0.0351756516267246
"Fold01",0.824902723735409,0.977272727272727,0.0372228691515184
"Fold01",0.828793774319066,0.977272727272727,0.0406644949575828
"Fold01",0.832684824902724,0.977272727272727,0.042950328137554
"Fold01",0.832684824902724,0.954545454545455,0.0442488902468639
"Fold01",0.836575875486381,0.954545454545455,0.046890965129727
"Fold01",0.840466926070039,0.954545454545455,0.0495847859888491
"Fold01",0.840466926070039,0.931818181818182,0.0505460728862781
"Fold01",0.844357976653696,0.931818181818182,0.0514200390496394
"Fold01",0.848249027237354,0.931818181818182,0.052102433829586
"Fold01",0.852140077821012,0.931818181818182,0.0524623207939107
"Fold01",0.856031128404669,0.931818181818182,0.0530480253808687
"Fold01",0.859922178988327,0.931818181818182,0.0539544086507301
"Fold01",0.863813229571984,0.931818181818182,0.0553062129482692
"Fold01",0.867704280155642,0.931818181818182,0.0563481641358271
"Fold01",0.8715953307393,0.931818181818182,0.0584157520799149
"Fold01",0.8715953307393,0.909090909090909,0.0602136092740608
"Fold01",0.875486381322957,0.909090909090909,0.0608444010418434
"Fold01",0.879377431906615,0.909090909090909,0.0650842043081364
"Fold01",0.883268482490272,0.909090909090909,0.0710148298835632
"Fold01",0.88715953307393,0.909090909090909,0.0743989454241537
"Fold01",0.891050583657588,0.909090909090909,0.0774465115230681
"Fold01",0.894941634241245,0.909090909090909,0.0801850720436001
"Fold01",0.898832684824903,0.909090909090909,0.0832402414123592
"Fold01",0.90272373540856,0.909090909090909,0.0866485832053092
"Fold01",0.90272373540856,0.886363636363636,0.0899447873441269
"Fold01",0.906614785992218,0.886363636363636,0.0922459244429716
"Fold01",0.910505836575875,0.886363636363636,0.0925768417654344
"Fold01",0.914396887159533,0.886363636363636,0.0997127161146948
"Fold01",0.918287937743191,0.886363636363636,0.114000442741499
"Fold01",0.922178988326848,0.886363636363636,0.133420778778401
"Fold01",0.926070038910506,0.886363636363636,0.14585599650279
"Fold01",0.929961089494163,0.886363636363636,0.148629369696911
"Fold01",0.933852140077821,0.886363636363636,0.166216419579848
"Fold01",0.937743190661479,0.886363636363636,0.194948852487827
"Fold01",0.941634241245136,0.886363636363636,0.213250114165706
"Fold01",0.941634241245136,0.863636363636364,0.22564301378203
"Fold01",0.945525291828794,0.863636363636364,0.237540599569134
"Fold01",0.945525291828794,0.840909090909091,0.242831678971045
"Fold01",0.953307392996109,0.840909090909091,0.244212062497539
"Fold01",0.957198443579767,0.840909090909091,0.245231506263404
"Fold01",0.957198443579767,0.818181818181818,0.286053514552637
"Fold01",0.961089494163424,0.818181818181818,0.328593355298186
"Fold01",0.964980544747082,0.818181818181818,0.362180731476003
"Fold01",0.968871595330739,0.818181818181818,0.424380773453057
"Fold01",0.968871595330739,0.795454545454545,0.461202117736242
"Fold01",0.972762645914397,0.795454545454545,0.482364203523331
"Fold01",0.976653696498054,0.795454545454545,0.500790782781033
"Fold01",0.980544747081712,0.795454545454545,0.51155076572345
"Fold01",0.980544747081712,0.772727272727273,0.52109422336388
"Fold01",0.980544747081712,0.75,0.543210991018865
"Fold01",0.980544747081712,0.727272727272727,0.579936224342037
"Fold01",0.980544747081712,0.704545454545455,0.601559158808229
"Fold01",0.98443579766537,0.704545454545455,0.611496453363477
"Fold01",0.98443579766537,0.681818181818182,0.617572557954212
"Fold01",0.98443579766537,0.659090909090909,0.623765850541529
"Fold01",0.98443579766537,0.636363636363636,0.666533362176091
"Fold01",0.98443579766537,0.613636363636364,0.708470295463057
"Fold01",0.98443579766537,0.590909090909091,0.734074761921766
"Fold01",0.98443579766537,0.568181818181818,0.76799294215043
"Fold01",0.98443579766537,0.545454545454545,0.786449807857451
"Fold01",0.98443579766537,0.522727272727273,0.796048125724986
"Fold01",0.98443579766537,0.5,0.800195443435133
"Fold01",0.98443579766537,0.477272727272727,0.802996113839568
"Fold01",0.98443579766537,0.454545454545455,0.809897819119696
"Fold01",0.988326848249027,0.454545454545455,0.820343753583206
"Fold01",0.988326848249027,0.431818181818182,0.829027742804842
"Fold01",0.988326848249027,0.409090909090909,0.839990515452518
"Fold01",0.988326848249027,0.386363636363636,0.848840125257875
"Fold01",0.992217898832685,0.386363636363636,0.854879831335886
"Fold01",0.992217898832685,0.363636363636364,0.86148335207029
"Fold01",0.992217898832685,0.340909090909091,0.865626455838826
"Fold01",0.992217898832685,0.318181818181818,0.874094571945797
"Fold01",0.992217898832685,0.295454545454545,0.890646425347213
"Fold01",0.996108949416342,0.295454545454545,0.907025948487477
"Fold01",1,0.295454545454545,0.916963669338841
"Fold01",1,0.272727272727273,0.926107919217232
"Fold01",1,0.25,0.938212002438921
"Fold01",1,0.227272727272727,0.95560711481413
"Fold01",1,0.204545454545455,0.96662985626596
"Fold01",1,0.181818181818182,0.970454822284986
"Fold01",1,0.159090909090909,0.974278964903873
"Fold01",1,0.136363636363636,0.976683753649347
"Fold01",1,0.113636363636364,0.97997528912979
"Fold01",1,0.0909090909090909,0.98181980267896
"Fold01",1,0.0681818181818182,0.983713985997163
"Fold01",1,0.0454545454545455,0.98840037552516
"Fold01",1,0.0227272727272727,0.99166589356228
"Fold01",1,0,Inf
"Fold02",0,1,-Inf
"Fold02",0.00389105058365759,1,0.00115916175478571
"Fold02",0.00778210116731518,1,0.00121370313799959
"Fold02",0.0116731517509728,1,0.00128775535122645
"Fold02",0.0155642023346304,1,0.00133135163365947
"Fold02",0.0194552529182879,1,0.00135800874760715
"Fold02",0.0233463035019455,1,0.00138708869952379
"Fold02",0.0272373540856031,1,0.00139915849799867
"Fold02",0.0311284046692607,1,0.00141721930303807
