"threshold","specificity","sensitivity"
0.00198035267057146,0.132605304212168,1
0.00198206639647548,0.134165366614665,1
0.00198298184051851,0.135725429017161,1
0.00198408621562188,0.137285491419657,1
0.00198488798507226,0.138845553822153,1
0.00198935380887958,0.140405616224649,1
0.00199503165449994,0.141965678627145,1
0.00199656070682826,0.143525741029641,1
0.00199687590643209,0.145085803432137,1
0.00200048767573176,0.146645865834633,1
0.00200738388204598,0.14820592823713,1
0.00201263901313172,0.149765990639626,1
0.00201675952432415,0.151326053042122,1
0.00202067137956962,0.152886115444618,1
0.00202376064266704,0.154446177847114,1
0.00202754791277804,0.15600624024961,1
0.00203148960761489,0.157566302652106,1
0.00203424356986649,0.159126365054602,1
0.00203556360468049,0.160686427457098,1
0.00203653645596244,0.162246489859594,1
0.00203927195340001,0.16380655226209,1
0.00204320022840644,0.165366614664587,1
0.0020455717518755,0.166926677067083,1
0.00204584859526172,0.168486739469579,1
0.0020466269177442,0.170046801872075,1
0.00204815627652384,0.171606864274571,1
0.00205133318041116,0.173166926677067,1
0.0020539630717973,0.174726989079563,1
0.0020550916041018,0.176287051482059,1
0.00205841819991124,0.177847113884555,1
0.00206191431172656,0.179407176287051,1
0.0020646536520242,0.180967238689548,1
0.0020684319763355,0.182527301092044,1
0.00207130695426545,0.18408736349454,1
0.00207315878475345,0.185647425897036,1
0.00207515777397911,0.187207488299532,1
0.0020784864856996,0.188767550702028,1
0.002088614395711,0.190327613104524,1
0.00209644180329024,0.19188767550702,1
0.00209727915619176,0.193447737909516,1
0.00209888518689287,0.195007800312012,1
0.0020999731783039,0.196567862714509,1
0.00210052685475447,0.198127925117005,1
0.00210385849495214,0.199687987519501,1
0.00210948666761462,0.201248049921997,1
0.00211277230848945,0.202808112324493,1
0.00211350623953182,0.204368174726989,1
0.00211427826425347,0.205928237129485,1
0.00211909760988192,0.207488299531981,1
0.00212401977398382,0.209048361934477,1
0.00212480486965627,0.210608424336973,1
0.00212498561889005,0.21216848673947,1
0.00212521959509762,0.213728549141966,1
0.00212642101803962,0.215288611544462,1
0.00213108927468239,0.216848673946958,1
0.002135856549808,0.218408736349454,1
0.00213769934707513,0.21996879875195,1
0.00213978613162006,0.221528861154446,1
0.00214185989322708,0.223088923556942,1
0.00214315953730601,0.224648985959438,1
0.00214399143948254,0.226209048361934,1
0.00214516531430336,0.227769110764431,1
0.00214655076404778,0.229329173166927,1
0.00215336731632987,0.230889235569423,1
0.00216081425955436,0.232449297971919,1
0.00216276698407327,0.234009360374415,1
0.00216394500698659,0.235569422776911,1
0.00216780688764054,0.237129485179407,1
0.00217249687265558,0.238689547581903,1
0.00217378844484446,0.240249609984399,1
0.00217504358178415,0.241809672386895,1
0.00217729790244346,0.243369734789392,1
0.00218793496422747,0.244929797191888,1
0.0021983427119445,0.246489859594384,1
0.00220023693191907,0.24804992199688,1
0.00220283018055017,0.249609984399376,1
0.002207226606998,0.251170046801872,1
0.00221273868521819,0.252730109204368,1
0.00221743022649111,0.254290171606864,1
0.00222026054320716,0.25585023400936,1
