"Threshold","Recall","Precision","F1"
0.00203556360468049,1,0.132258064516129,0.233618233618234
0.00203653645596244,1,0.132471728594507,0.2339514978602
0.00203927195340001,1,0.132686084142395,0.234285714285714
0.00204320022840644,1,0.13290113452188,0.234620886981402
0.0020455717518755,1,0.133116883116883,0.234957020057307
0.00204584859526172,1,0.133333333333333,0.235294117647059
0.0020466269177442,1,0.133550488599349,0.235632183908046
0.00204815627652384,1,0.133768352365416,0.235971223021583
0.00205133318041116,1,0.133986928104575,0.236311239193084
0.0020539630717973,1,0.134206219312602,0.236652236652237
0.0020550916041018,1,0.134426229508197,0.236994219653179
0.00205841819991124,1,0.134646962233169,0.237337192474674
0.00206191431172656,1,0.134868421052632,0.23768115942029
0.0020646536520242,1,0.135090609555189,0.238026124818578
0.0020684319763355,1,0.135313531353135,0.238372093023256
