"Threshold","Recall","Precision"
0.00214655076404778,1,0.142361111111111
0.00215336731632987,1,0.142608695652174
0.00216081425955436,1,0.142857142857143
0.00216276698407327,1,0.143106457242583
0.00216394500698659,1,0.143356643356643
0.00216780688764054,1,0.143607705779334
0.00217249687265558,1,0.143859649122807
0.00217378844484446,1,0.144112478031634
0.00217504358178415,1,0.144366197183099
0.00217729790244346,1,0.144620811287478
0.00218793496422747,1,0.144876325088339
0.0021983427119445,1,0.145132743362832
0.00220023693191907,1,0.145390070921986
0.00220283018055017,1,0.145648312611012
0.002207226606998,1,0.145907473309609
0.00221273868521819,1,0.146167557932264
0.00221743022649111,1,0.146428571428571
0.00222026054320716,1,0.146690518783542
0.00222388547552826,1,0.146953405017921
0.00222767257527826,1,0.14721723518851
0.00223148588003089,1,0.147482014388489
